PORTFOLIO.ID PORTFOLIO.PRIJMENI                                 PRODUCT.NAZEV                                      POCET_KUSU
           1 Novák                                              ASTALDI S.P.A                                            -140 
           1 Novák                                              SMURFIT KAPPA GROUP PLC                                   -19 
           1 Novák                                              ETFS PHYSICAL PLATINUM                                   -156 
           1 Novák                                              ETFS PHYSICAL SILVER                                     -130 
           1 Novák                                              ETFS 2X DAILY LONG COCOA                                 -168 
           1 Novák                                              ATRIUM EUROPEAN REAL ESTATE                              -100 
           1 Novák                                              WIZZ AIR HOLDINGS PLC                                    -130 
           1 Novák                                              SEVEN  I HOLDINGS CO LTD                                 -121 
           1 Novák                                              NINTENDO CO LTD                                          -143 
           1 Novák                                              XIAOMI CORP-CLASS B USD                                  -110 
           1 Novák                                              CDC CORP CL A                                            -120 
           2 Chalupa                                            GENERALI EMERGING EUROPE Y EUR DIV                        115 
           2 Chalupa                                            ALLERGAN PLC old                                          124 
           2 Chalupa                                            HUNGARY GOVT 1.25 22/10/2025                             -156 
           2 Chalupa                                            RESIDEO FUNDING 6 1/8 11/01/26                           -120 
           2 Chalupa                                            ISHARES SP 500 MINIMUM VOLATILITY UCITS ETF               118 
           1 Novák                                              GENERALI NEW ECONOMIES A PLN                             -120 
           1 Novák                                              ISHARES DJ INDUSTRIAL AVERAGE UCITS ETF                  -154 
           1 Novák                                              INVESCO PHYSICAL GOLD ETC                                -140 
           1 Novák                                              INVESCO STX 600 OPT BANKS UCITS ETF                      -121 
           1 Novák                                              ISHARES PHYSICAL PALLADIUM ETC                           -130 
           1 Novák                                              ISHARES PHYSICAL GOLD ETC                                -120 
           1 Novák                                              JAZZ PHARMACEUTICALS PLC                                 -182 
           2 Chalupa                                            GENERALI PREMIUM BALANCED B CZK                           125 
           1 Novák                                              CZK                                                    -49711 
           1 Novák                                              GENERALI EMER. EUROPE BOND Y EUR                         -120 
           1 Novák                                              GENERALI EMER. EUROPE BOND A RON                         -120 
           5 Beneš                                              DKT FINANCE APS DKTFIN 9 3/8 06/17/23                     110 
           3 Svobodová                                          ALLERGAN PLC                                              119 
           3 Svobodová                                          GENERALI Premium Dynamic A PLN                            122 
           3 Svobodová                                          ISHARES ASIA/PAC Dividend UCITS ETF USD                   123 
           3 Svobodová                                          COMPUGEN LTD.                                             118 
           3 Svobodová                                          GENERALI DYNAMIC BALANCED B CZK                           124 
           3 Svobodová                                          GENERALI DYNAMIC BALANCED B PLN                           113 
           3 Svobodová                                          MEDTRONIC PLC.                                            121 
           4 Chlupová                                           IVY Rosewood Diversified Feeder Fund Class A1 USD         115 
           3 Svobodová                                          RISANAMENTO SPA                                           117 
           3 Svobodová                                          GEMINA SPA                                                123 
           3 Svobodová                                          ENEL IM                                                   113 
           5 Beneš                                              CHINA HIGH SPEED TRANSM. EQUIP.                           117 
           5 Beneš                                              FANTASIA HOLDINGS GROUP CO. LTD                           121 
           5 Beneš                                              GCL-POLY ENERGY HOLDINGS LTD                              123 
           5 Beneš                                              PEAK SPORT PRODUCTS LTD.                                  120 
           5 Beneš                                              SINA CORP                                                 121 
           4 Chlupová                                           ETFS DAILY LEVERAGED COFFEE                               122 
           5 Beneš                                              SAMSUNG ELECTRONIC CO LTD. KRW                            126 
           5 Beneš                                              JB GLOBAL CONVERT BOND FUND A                             120 
           5 Beneš                                              FIDELITY FUND-GREAT CHINA FUND                            116 
           5 Beneš                                              FIDELITY FUND-LATIN AMERICA FUND                          117 
           3 Svobodová                                          CZK                                                    -51270 
           1 Novák                                              GENERALI PREMIUM BALANCED B RON                          -143 
           1 Novák                                              MV GOLD MINERS UCITS ETF                                 -130 
           1 Novák                                              ISHARES EURSTOXX SELECT DIV30 GBP                         -53 
           1 Novák                                              SODASTREAM INTERNATIONAL LTD                             -154 
           1 Novák                                              GENERALI ASSICURAZIONI SPA                               -182 
           1 Novák                                              UNICREDIT SPA - OLD                                      -182 
           1 Novák                                              BPER BANCA                                               -120 
           1 Novák                                              DANIELI  CO-RSP                                          -154 
           1 Novák                                              BULGARI SPA                                              -154 
           1 Novák                                              BENI STABILI SPA                                         -144 
           1 Novák                                              ENI SPA                                                  -143 
           1 Novák                                              GENERALI EMER. EUROPE BOND A HUF                         -156 
           1 Novák                                              COASTAL ENERGY CO                                        -130 
           1 Novák                                              GOTTEX ABI Fund                                          -143 
           1 Novák                                              HERBALIFE LTD.                                           -196 
           1 Novák                                              OPUS Fund Limited Class B Shares                         -143 
           1 Novák                                              GENERALI CORPORATE BONDS A EUR                            -28 
           1 Novák                                              BANK CENTERCREDIT                                        -130 
           1 Novák                                              JB GLOBAL CONVERT BOND FUND B                            -132 
           1 Novák                                              FIDELITY FUND-GREAT CHINA FUND                           -168 
           2 Chalupa                                            HLF FIN SARL LLC 7 1/4 08/15/26                          -120 
           2 Chalupa                                            VW LEASING 0.25 16/02/2021                               -182 
           2 Chalupa                                            BKO GOV 0 11/09/2020                                     -140 
           1 Novák                                              HZL ERSTE JELZALOGBANK 1.5 24/11/2023                    -196 
           1 Novák                                              YOOX NET-A-PORTER Group SPA                              -140 
           1 Novák                                              POSTE ITALIANE SPA                                       -110 
           1 Novák                                              LEONARDO SPA                                             -100 
           1 Novák                                              SALINI IMPREGILO SPA                                     -168 
           1 Novák                                              ISHARES ASIA PROPERTY YIELD UCITS ETF                     -75 
           1 Novák                                              ISHARES MSCI TURKEY FUND                                  -34 
           1 Novák                                              ISHARES FTSE MIB UCITS ETF                                -37 
           1 Novák                                              INTESA SANPAOLO-WTDRW RIGHT                              -110 
           1 Novák                                              ETFS SHORT COTTON ETC                                    -168 
           1 Novák                                              SHIRE PLC - GBP                                          -156 
           1 Novák                                              GENEL ENERGY PLC                                         -132 
           1 Novák                                              GENERALI OIL AND ENERGY A PLN                             -11 
           2 Chalupa                                            GENERALI PREMIUM CONSERVATIVE A CZK                       126 
           2 Chalupa                                            PETROLEOS MEXICA 6 1/2 01/23/29                          -132 
           2 Chalupa                                            JT GLOBAL FINANCE IX 4.0 26/10/2023                      -154 
           2 Chalupa                                            SID BANKA 0.5 12/12/2023                                 -168 
           2 Chalupa                                            GENERALI EMERGING EUROPE I EUR                            119 
           2 Chalupa                                            ISHARES CORE SP 500 UCITS ETF                             121 
           2 Chalupa                                            GENERALI COMMODITY A CZK                                  115 
           1 Novák                                              UBS AG - RTS USD                                           -2 
           1 Novák                                              TE Connectivity Ltd                                       -15 
           1 Novák                                              GENERALI EMERGING EUROPE I EUR                           -154 
           1 Novák                                              ISHARES PHYSICAL PLATINUM ETC                            -132 
           2 Chalupa                                            GENERALI PREMIUM BALANCED A EUR                           120 
           2 Chalupa                                            GENERALI PREMIUM BALANCED A HUF                           122 
           3 Svobodová                                          GENERALI DYNAMIC BALANCED A HUF                           120 
           1 Novák                                              GEBERIT AG-REG                                             18 
           1 Novák                                              GENERALI CORPORATE BONDS A PLN                           -132 
           5 Beneš                                              HUNGARY GOVT 2.5 24/10/2024                               121 
           3 Svobodová                                          GENERALI Premium Dynamic A CZK                            125 
           3 Svobodová                                          CHECK POINT SW TECH                                       126 
           3 Svobodová                                          DANIELI  CO-RSP                                           115 
           3 Svobodová                                          BULGARI SPA                                               122 
           3 Svobodová                                          UNICREDIT SPA - OLD                                       114 
           3 Svobodová                                          FINECOBANK SPA                                            120 
           3 Svobodová                                          FIAT SPA                                                  112 
           4 Chlupová                                           ASTALDI S.P.A                                             115 
           4 Chlupová                                           PIRELLI  C REAL ESTATE SPA                                121 
           4 Chlupová                                           YOOX NET-A-PORTER Group SPA                               119 
           4 Chlupová                                           UNICREDIT SPA RIGHTS                                      116 
           5 Beneš                                              XIAOMI CORP-CLASS B USD                                   130 
           5 Beneš                                              COASTAL ENERGY CO                                         122 
           5 Beneš                                              FABRINET                                                  124 
           5 Beneš                                              SCOTTISH RE GROUP                                         114 
           4 Chlupová                                           ETFS PHYSICAL PLATINUM                                    127 
           4 Chlupová                                           ETFS PHYSICAL PALLADIUM                                   130 
           4 Chlupová                                           ETFS PHYSICAL SILVER                                      119 
           4 Chlupová                                           GENEL ENERGY PLC                                          123 
           4 Chlupová                                           DELPHI TECHNOLOGIES PLC                                   121 
           4 Chlupová                                           FERGUSON PLC                                              112 
           5 Beneš                                              NISSAN MOTOR CO LTD                                       119 
           4 Chlupová                                           CZK                                                    -50068 
           5 Beneš                                              JB GLOBAL CONVERT BOND FUND B                             117 
           5 Beneš                                              GOLDMAN SACHS L+111 19/06/2028                            131 
           5 Beneš                                              CZK                                                    -44473 
           1 Novák                                              PERRIGO CO PLC                                           -110 
           1 Novák                                              GENERALI PREMIUM BALANCED A RON                          -168 
           1 Novák                                              ENDO INTERNATIONAL PLC                                   -156 
           1 Novák                                              Sirius Emerging Equity Fund EUR                           -53 
           1 Novák                                              DB X-TRACKERS EQUITY LOW BETA FACTOR UCITS ETF           -110 
           1 Novák                                              MEDTRONIC PLC.                                           -110 
           1 Novák                                              BOOST BTP 10Y 5X SHORT DAILY                             -196 
           1 Novák                                              GENERALI Premium Dynamic A CZK                           -140 
           1 Novák                                              ISHARES ASIA/PAC Dividend UCITS ETF USD                  -132 
           1 Novák                                              CATTOLICA ASSICURAZIONI SC                               -196 
           1 Novák                                              MEDIASET SPA                                             -120 
           1 Novák                                              iShares European Property Yield UCITS ETF                 -22 
           1 Novák                                              BUZZI UNICEM SPA                                         -140 
           1 Novák                                              iShares MSCI World Minimum Volatility UCITS ETF          -168 
           1 Novák                                              FABRINET                                                 -156 
           1 Novák                                              TRANSOCEAN INC                                           -110 
           1 Novák                                              FIDELITY FUND-THAILAND FUND-A                            -140 
           1 Novák                                              FIDELITY FUNDS-ASIAN SPEC.SIT.F.                         -110 
           2 Chalupa                                            ALTICE FRANCE 8,125 02/01/27                             -100 
           2 Chalupa                                            SINO OCEAN LAND L+230 31/07/2021                         -143 
           2 Chalupa                                            BARCLAYS PLC 1.5 03/09/2023                              -143 
           2 Chalupa                                            ATRIUM EUR. 3 11/9/2025                                  -143 
           1 Novák                                              GENERALI GLOBAL EQUITY A EUR                              -66 
           1 Novák                                              ENERGIZER GAMMA ACQUISITION INC ENR 6 3/8 07/15/26       -130 
           2 Chalupa                                            FIKTIVNI GBU.N 0.6386 18/7/2022                          -132 
           1 Novák                                              PIRELLI  C REAL ESTATE SPA                               -169 
           1 Novák                                              RECORDATI SPA                                            -168 
           1 Novák                                              ENEL SPA - RTS                                           -156 
           1 Novák                                              FIAT INDUSTRIAL SPA - PFD                                -143 
           1 Novák                                              INTESA SANPAOLO - RTS11                                  -154 
           1 Novák                                              MAIRE TECNIMONT SPA                                      -156 
           1 Novák                                              UNICREDIT SPA RIGHTS 5/2014                              -156 
           1 Novák                                              ISHARES SP EMER MRKT INFRAS                               -21 
           1 Novák                                              UNICREDIT SPA RIGHTS 01/2018                             -154 
           1 Novák                                              SOURCE MSCI EMERG. MARKETSUCITS ETF-A                      -7 
           1 Novák                                              ISHARES CORE EURO CORP BOND UCITS ETF                     -23 
           1 Novák                                              ETFS LONGER DT NATURAL GAS                               -182 
           1 Novák                                              GENERALI EMERGING EUROPE A CZK                            -55 
           1 Novák                                              NISSAN MOTOR CO LTD                                      -169 
           1 Novák                                              INDUSTRIAL BANK OF KOREA                                 -168 
           2 Chalupa                                            GENERALI EMER. EUROPE BOND A EUR                          119 
           2 Chalupa                                            HSBC MSCI AC FAR EAST EX JAPAN                            127 
           2 Chalupa                                            Santander Bank Polska 0.75 20/09/2021                    -156 
           2 Chalupa                                            ROMANIA GB 2.875 11/03/2029 EUR                          -154 
           2 Chalupa                                            ISHARES PHYSICAL SILVER ETC                               117 
           2 Chalupa                                            ISHARES PHYSICAL GOLD ETC                                 119 
           2 Chalupa                                            POLGB 0 25/05/2021                                       -121 
           2 Chalupa                                            GENERALI NEW ECONOMIES A PLN                              122 
           2 Chalupa                                            ISHARES DJ INDUSTRIAL AVERAGE UCITS ETF                   120 
           2 Chalupa                                            INVESCO PHYSICAL GOLD ETC                                 124 
           2 Chalupa                                            SEAGATE TECHNOLOGY                                        114 
           2 Chalupa                                            INVESCO STX 600 OPT BANKS UCITS ETF                       121 
           2 Chalupa                                            SSGA SPDR ETFS EUR SP 500                                 122 
           1 Novák                                              COMPAGNIE FINANCIER RICHEMONT SA                            1 
           1 Novák                                              TRANSOCEAN LTD                                              6 
           1 Novák                                              GARMIN LTD                                                -28 
           1 Novák                                              UBS AG - CHF                                              -35 
           1 Novák                                              ISHARES CORE SP 500 UCITS ETF                            -156 
           1 Novák                                              HSBC MSCI TURKEY UCITS ETF                               -100 
           1 Novák                                              INGERSOLL-RAND PLC.                                      -120 
           1 Novák                                              GENERALI COMMODITY A PLN                                 -156 
           1 Novák                                              ISHARES CORE MSCI WORLD UCITS ETF                        -143 
           1 Novák                                              ISHARES MSCI POLAND ETF                                  -168 
           2 Chalupa                                            ADIENT PLC                                                128 
           2 Chalupa                                            nVent Electric PLC                                        120 
           1 Novák                                              GENERALI CORPORATE BONDS B CZK                           -168 
           1 Novák                                              GENERALI CORPORATE BONDS B RON                           -132 
           3 Svobodová                                          CATTOLICA ASSICURAZIONI SC                                119 
           3 Svobodová                                          MEDIASET SPA                                              129 
           3 Svobodová                                          BUZZI UNICEM SPA                                          115 
           3 Svobodová                                          GENERALI DYNAMIC BALANCED B HUF                           123 
           3 Svobodová                                          ENDO INTERNATIONAL PLC                                    118 
           3 Svobodová                                          GENERALI GLOBAL EQUITY A CZK                              121 
           3 Svobodová                                          PENTAIR PLC                                               122 
           3 Svobodová                                          UBS ETF FACTOR LOW VOLATLY                                121 
           4 Chlupová                                           UNICREDIT SPA RIGHTS 5/2014                               125 
           4 Chlupová                                           UNICREDIT SPA RIGHTS 05/2015                              122 
           3 Svobodová                                          FIAT SPA - PFD                                            120 
           4 Chlupová                                           RECORDATI SPA                                             117 
           4 Chlupová                                           LEONARDO SPA                                              115 
           4 Chlupová                                           INTESA SANPAOLO - RTS11                                   118 
           5 Beneš                                              CDC CORP CL A                                             122 
           5 Beneš                                              OPUS CREDIT FUND LTD SP1 EUR                              110 
           5 Beneš                                              XIAOMI CORP-CLASS B                                       120 
           4 Chlupová                                           ETFS PHYSICAL GOLD                                        122 
           4 Chlupová                                           ETFS LONGER DT NATURAL GAS                                120 
           4 Chlupová                                           ATRIUM EUROPEAN REAL ESTATE                               122 
           4 Chlupová                                           VELTI PLC                                                 120 
           4 Chlupová                                           POLYMETAL INTERNATIONAL-W/I                               118 
           4 Chlupová                                           WIZZ AIR HOLDINGS PLC                                     122 
           4 Chlupová                                           CANON INC                                                 114 
           5 Beneš                                              INDUSTRIAL BANK OF KOREA                                  112 
           5 Beneš                                              CS-EF (L)USA-B                                            127 
           2 Chalupa                                            UNICREDIT SPA PLN                                        2000 
           1 Novák                                              GENERALI DYNAMIC BALANCED A PLN                          -130 
           1 Novák                                              INVESCO NASDAQ-100 DIST ETF                               -23 
           1 Novák                                              KING DIGITAL ENTERTAINMENT PLC                           -182 
           1 Novák                                              PADDY POWER BETFAIR PLC                                  -182 
           1 Novák                                              ISHARES CORE MSCI EM IMI UCITS - EUR                     -130 
           1 Novák                                              VIZRT LTD.                                               -182 
           1 Novák                                              ISHARES MSCI EUROPE MINIMUM VOLATILITY UCITS ETF         -168 
           1 Novák                                              INVESCO BLOOMBERG COMMODITY ETF                          -182 
           1 Novák                                              ADIENT PLC                                               -144 
           1 Novák                                              SPDR EURO STOXX LOW Volatility UCITS ETF                 -130 
           1 Novák                                              OLYMPIA SPEC OPPORT CLASS B  EUR                         -130 
           1 Novák                                              XINGDA INTERNATIONAL HOLDINGS LT                         -143 
           1 Novák                                              EXCEL MARITIME CARRIERS LTD                              -130 
           1 Novák                                              JB GLOBAL CONVERT BOND FUND A                            -130 
           1 Novák                                              JB EURO CASH FUND-B                                      -182 
           1 Novák                                              FIDELITY FUND-LATIN AMERICA FUND                         -182 
           2 Chalupa                                            FIKTIVNI GPRE CZK 2.22223 2/8/2021                       -144 
           2 Chalupa                                            ISHARES PHYSICAL PLATINUM ETC                             124 
           2 Chalupa                                            HUNGARIAN DEVELOPMENT BA 1.7 27/10/2021                  -156 
           1 Novák                                              CS-EF (L)USA-B                                           -110 
           1 Novák                                              HUNGARY GOVT 2.5 24/10/2024                              -110 
           2 Chalupa                                            TRANSOCEAN PONTUS LTD RIG 6 1/8 08/01/25                 -100 
           1 Novák                                              TELECOM ITALIA                                           -144 
           1 Novák                                              ISHARES DJ ASIA/PAC SD 30 ETF                              24 
           1 Novák                                              FIAT INDUSTRIAL SPA RIGHTS 2012                          -110 
           1 Novák                                              BANCO BPM SPA                                            -130 
           1 Novák                                              ISHARES BC GBL INF LNK BD                                 -67 
           1 Novák                                              ETFS PHYSICAL PALLADIUM                                  -100 
           1 Novák                                              GENERALI EMERGING EUROPE A PLN                             10 
           1 Novák                                              POLYMETAL INTERNATIONAL-W/I                              -130 
           1 Novák                                              TOYOTA MOTOR CORP                                        -110 
           2 Chalupa                                            iShares MSCI World Minimum Volatility UCITS ETF           113 
           2 Chalupa                                            US TREASURY 3 30/09/2025                                 -196 
           2 Chalupa                                            ISHARES MSCI POLAND ETF                                   116 
           2 Chalupa                                            FINANCIAL  RISK 6 1/4 05/15/26                           -156 
           2 Chalupa                                            HZL PKO BANK HIPOTECZNY L+66 28/04/2025                  -120 
           2 Chalupa                                            RAIFFEISEN BK INT 3.4 13/11/2023                         -144 
           2 Chalupa                                            Black Sea TD Bank 4.9 11/12/2021                         -182 
           2 Chalupa                                            SOURCE EURO STOXX 50 ETF - A                              119 
           2 Chalupa                                            INVESCO MSCI WORLD ETF                                    118 
           2 Chalupa                                            GENERALI EMERGING EUROPE A EUR                            125 
           2 Chalupa                                            GENERALI CORPORATE BONDS B EUR                            121 
           1 Novák                                              UBS AG - RTS                                              -34 
           1 Novák                                              ISHARES FTSE 100 UCITS ACC                               -169 
           1 Novák                                              NESTLE SA-REG CHF                                         -65 
           1 Novák                                              GENERALI COMMODITY A CZK                                 -130 
           1 Novák                                              COCA-COLA HBC AG-DI                                        23 
           2 Chalupa                                            SPDR EURO STOXX LOW Volatility UCITS ETF                  119 
           2 Chalupa                                            PERRIGO CO PLC                                            116 
           2 Chalupa                                            GENERALI PREMIUM BALANCED B EUR                           114 
           3 Svobodová                                          GENERALI PREMIUM BALANCED B PLN                           120 
           3 Svobodová                                          GENERALI PREMIUM BALANCED B HUF                           125 
           3 Svobodová                                          GENERALI DYNAMIC BALANCED A EUR                           121 
           3 Svobodová                                          GENERALI DYNAMIC BALANCED A PLN                           114 
           1 Novák                                              NOBLE CORP. OLD 2013                                        7 
           1 Novák                                              GENERALI CORPORATE BONDS B PLN                           -110 
           5 Beneš                                              HZL ERSTE JELZALOGBANK 1.5 24/11/2023                     124 
           3 Svobodová                                          ISHARES EMERGING MKT DIV UCITS USD                        128 
           3 Svobodová                                          ELBIT SYSTEMS LTD                                         119 
           3 Svobodová                                          HERA SPA                                                  121 
           4 Chlupová                                           SAIPEM SPA rights 01/2016                                 121 
           4 Chlupová                                           UNICREDIT SPA                                             246 
           4 Chlupová                                           SAIPEM SPA                                                124 
           4 Chlupová                                           UNICREDIT SPA RIGHTS 01/2018                              114 
           4 Chlupová                                           INTESA SANPAOLO-WTDRW RIGHT                               125 
           3 Svobodová                                          BENI STABILI SPA                                          123 
           4 Chlupová                                           ATLANTIA SPA                                              120 
           4 Chlupová                                           POSTE ITALIANE SPA                                        119 
           4 Chlupová                                           PRYSMIAN SPA                                              123 
           4 Chlupová                                           ENEL SPA AZIONI 06/09                                     129 
           4 Chlupová                                           MONCLER SPA                                               117 
           5 Beneš                                              HERBALIFE LTD.                                            119 
           5 Beneš                                              OPUS CREDIT  LTD CLASS B1 EUR                             118 
           5 Beneš                                              KAZKOMMERTSBANK                                           119 
           5 Beneš                                              TRANSOCEAN INC.                                           124 
           4 Chlupová                                           ETFS PHYSICAL PM BASKET                                   120 
           4 Chlupová                                           SEVEN  I HOLDINGS CO LTD                                  121 
           5 Beneš                                              JB EURO CASH FUND-B                                       128 
           5 Beneš                                              FIDELITY FUNDS-ASIAN SPEC.SIT.F.                          118 
           3 Svobodová                                          COMPAGNIE FINANCIER RICHEMONT SA                           30 

 658 rows selected 

OORDER.DT_PRIKAZU PRODUCT.NAZEV                                      POCET_KUSU
----------------- -------------------------------------------------- ----------
03.01.18          BANK OF IRELAND                                            10 
03.01.18          PERRIGO CO PLC                                           -110 
03.01.18          CONSEQ INVEST DLUHOPISOVY OPF                              11 
03.01.18          GENERALI PREMIUM BALANCED A EUR                          -132 
03.01.18          CONSEQ INVEST DLUHOPISOVY OPF                              13 
03.01.18          GENERALI PREMIUM BALANCED A CZK                          -130 
03.01.18          CONSEQ INVEST DLUHOPISOVY OPF                              11 
03.01.18          GENERALI PREMIUM BALANCED A PLN                          -154 
03.01.18          CONSEQ INVEST DLUHOPISOVY OPF                              10 
03.01.18          GENERALI PREMIUM BALANCED A HUF                          -100 
03.01.18          CONSEQ INVEST DLUHOPISOVY OPF                              12 
03.01.18          GENERALI PREMIUM BALANCED A RON                          -168 
03.01.18          CONSEQ INVEST PLC - EQUITY FUND                            12 
03.01.18          GENERALI PREMIUM BALANCED B EUR                          -168 
03.01.18          CONSEQ INVEST PLC - EQUITY FUND                            11 
03.01.18          GENERALI PREMIUM BALANCED B CZK                          -132 
03.01.18          CONSEQ INVEST PLC - EQUITY FUND                            14 
03.01.18          GENERALI PREMIUM BALANCED B PLN                          -196 
03.01.18          CONSEQ INVEST PLC - EQUITY FUND                            10 
03.01.18          GENERALI PREMIUM BALANCED B HUF                          -100 
03.01.18          CONSEQ INVEST PLC - EQUITY FUND                            13 
03.01.18          GENERALI PREMIUM BALANCED B RON                          -143 
03.01.18          ISHARES SP 500 UCITS ETF DIST                              13 
03.01.18          GENERALI DYNAMIC BALANCED A EUR                          -169 
03.01.18          ISHARES SP 500 UCITS ETF DIST                              14 
03.01.18          GENERALI DYNAMIC BALANCED A CZK                          -168 
03.01.18          ISHARES SP 500 UCITS ETF DIST                              10 
03.01.18          GENERALI DYNAMIC BALANCED A PLN                          -130 
03.01.18          ISHARES SP 500 UCITS ETF DIST                              11 
03.01.18          GENERALI DYNAMIC BALANCED A HUF                          -110 
03.01.18          ISHARES SP 500 UCITS ETF DIST                              14 
03.01.18          GENERALI DYNAMIC BALANCED A RON                          -168 
03.01.18          INVESCO NASDAQ-100 DIST ETF                                12 
03.01.18          GENERALI DYNAMIC BALANCED B EUR                          -156 
03.01.18          INVESCO NASDAQ-100 DIST ETF                                13 
03.01.18          GENERALI DYNAMIC BALANCED B CZK                          -156 
03.01.18          INVESCO NASDAQ-100 DIST ETF                                10 
03.01.18          GENERALI DYNAMIC BALANCED B PLN                          -130 
03.01.18          INVESCO NASDAQ-100 DIST ETF                                11 
03.01.18          GENERALI DYNAMIC BALANCED B HUF                          -154 
03.01.18          INVESCO NASDAQ-100 DIST ETF                                12 
03.01.18          GENERALI DYNAMIC BALANCED B RON                          -156 
03.01.18          BAREP Global Credit Class B (EUR)                          11 
03.01.18          SPDR Russell 2000 US Small Cap UCIS ETF                  -121 
03.01.18          BAREP Global Credit Class B (EUR)                          13 
03.01.18          ENDO INTERNATIONAL PLC                                   -156 
03.01.18          BAREP Global Credit Class B (EUR)                          14 
03.01.18          KING DIGITAL ENTERTAINMENT PLC                           -182 
03.01.18          BAREP Global Credit Class B (EUR)                          12 
03.01.18          ISHARES CORE MSCI EM IMI UCITS - USD                     -132 
03.01.18          BAREP Global Credit Class B (EUR)                          11 
03.01.18          GENERALI GLOBAL EQUITY A CZK                             -121 
03.01.18          Sirius Emerging Equity Fund EUR                            10 
03.01.18          DB X-TRACKERS EQUITY LOW BETA FACTOR UCITS ETF           -110 
03.01.18          Sirius Emerging Equity Fund EUR                            11 
03.01.18          PENTAIR PLC                                              -154 
03.01.18          Sirius Emerging Equity Fund EUR                            10 
03.01.18          Sirius Emerging Equity Fund EUR                            12 
03.01.18          SOURCE NASDAQ BIOTECH UCITS ETF                          -120 
03.01.18          Sirius Emerging Equity Fund EUR                            13 
03.01.18          MV GOLD MINERS UCITS ETF                                 -130 
03.01.18          CONSEQ INVEST CONSERV. BOND F.                             10 
03.01.18          VANECK VECTORS JUNIOR GOLD MINERS UCITS ETF              -110 
03.01.18          CONSEQ INVEST CONSERV. BOND F.                             10 
03.01.18          ISHARES EUR CORP BBB-BB                                  -110 
03.01.18          CONSEQ INVEST CONSERV. BOND F.                             11 
03.01.18          MEDTRONIC PLC.                                           -110 
03.01.18          CONSEQ INVEST CONSERV. BOND F.                             14 
03.01.18          PADDY POWER BETFAIR PLC                                  -182 
03.01.18          CONSEQ INVEST CONSERV. BOND F.                             11 
03.01.18          UBS ETF FACTOR LOW VOLATLY                               -154 
